minute,second,team,x,y,outcome,xG
21,42,Tottenham,50.88,85.2,Saved,0.004
29,33,Tottenham,34.96,91.68,Missed,0.01
35,3,Tottenham,44.4,101.64,Saved,0.04
41,3,Tottenham,27.92,96.36,Saved,0.07
42,9,Tottenham,50.4,104.88,Saved,0.23
42,13,Tottenham,21.6,108,Missed,0.14
45,32,Tottenham,47.84,107.64,Saved,0.23
46,51,Tottenham,47.04,89.76,Saved,0.007
57,31,Tottenham,48.64,107.04,Post,0.323
60,12,Tottenham,33.76,101.64,Missed,0.12
64,29,Tottenham,37.36,98.28,Saved,0.14
66,58,Tottenham,50.72,107.52,Missed,0.16
69,12,Tottenham,37.36,98.28,Missed,0.03
69,57,Tottenham,54.56,104.04,Saved,0.08
77,5,Tottenham,52.32,89.76,Saved,0.04
80,9,Tottenham,46.24,91.44,Missed,0.05
82,51,Tottenham,41.12,97.8,Saved,0.14
84,15,Tottenham,27.44,87.84,Missed,0.0
87,51,Tottenham,28.88,96.36,Missed,0.06
89,6,Tottenham,42.08,99.36,Saved,0.12
